0, 200, 0, 10
1, 200, 0, 10
2, 200, 0, 10
3, 200, 0, 10
4, 200, 0, 10
5, 200, 0, 10
6, 200, 0, 10
7, 200, 0, 10
8, 200, 0, 10
9, 200, 0, 11
10, 200, 0, 11
11, 200, 0, 11
12, 200, 0, 11
13, 200, 0, 11
14, 200, 0, 11
15, 200, 0, 11
16, 200, 0, 11
17, 200, 0, 11
18, 200, 0, 11
0, 5000, 0, 88
1, 5000, 183, 670
2, 5000, 0, 88
3, 5000, 2, 97
4, 5000, 2, 97
5, 5000, 2, 97
6, 5000, 2, 97
7, 5000, 2, 97
8, 5000, 2, 97
9, 5000, 2, 97
10, 5000, 2, 97
11, 5000, 1961, 2189
12, 5000, 1, 92
13, 5000, 0, 88
14, 5000, 67, 327
15, 5000, 2, 97
16, 5000, 2, 97
17, 5000, 0, 88
18, 5000, 91, 400
