0, 200, -3, 8
1, 200, -3.53333, 7
2, 200, -3.46667, 7
3, 200, -4, 8
4, 200, -4, 8
5, 200, -4, 8
6, 200, -4, 8
7, 200, -4, 8
8, 200, -4, 8
9, 200, -4, 8
10, 200, -3.53333, 7
11, 200, -4, 8
12, 200, -4, 8
13, 200, -4, 8
14, 200, -4, 8
15, 200, -4, 8
16, 200, -3.53333, 7
17, 200, 1.06667, 20
18, 200, -4, 8
19, 200, -4, 8
20, 200, -4, 8
21, 200, -4, 8
22, 200, -4, 8
23, 200, -4, 8
0, 10000, -10, 15
1, 10000, -9.53333, 14
2, 10000, -9.46667, 14
3, 10000, -9, 13
4, 10000, -9, 13
5, 10000, -9, 13
6, 10000, -9, 13
7, 10000, -9, 13
8, 10000, -9, 13
9, 10000, -9, 13
10, 10000, -9.53333, 14
11, 10000, -9, 13
12, 10000, -9, 13
13, 10000, -9, 13
14, 10000, -9, 13
15, 10000, -9, 13
16, 10000, -9.53333, 14
17, 10000, 9074.4, 9695
18, 10000, -9, 13
19, 10000, -9, 13
20, 10000, -9, 13
21, 10000, -9, 13
22, 10000, -9, 13
23, 10000, -9, 13
